LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,MSSubClass,MSZoning,Street,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,GarageFinish,MoSold,SaleType,SaleCondition,SalePrice
8450,4,4,3,7,5,2003,2003,196.0,4,3,4,3,0,6,706,1,0,150,856,5,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,2003.0,2,548,3,3,2,0,61,0,0,0,0,0,2008,SC60,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,Feb,WD,Normal,208500
9600,4,4,3,6,8,1976,1976,0.0,3,3,4,3,3,5,978,1,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,1976.0,2,460,3,3,2,298,0,0,0,0,0,0,2007,SC20,RL,Pave,Lvl,FR2,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,May,WD,Normal,181500
11250,3,4,3,7,5,2001,2002,162.0,4,3,4,3,1,6,486,1,0,434,920,5,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,2001.0,2,608,3,3,2,0,42,0,0,0,0,0,2008,SC60,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,Sep,WD,Normal,223500
9550,3,4,3,7,5,1915,1970,0.0,3,3,3,4,0,5,216,1,0,540,756,4,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,1998.0,3,642,3,3,2,0,35,272,0,0,0,0,2006,SC70,RL,Pave,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,BrkTil,GasA,Y,SBrkr,Detchd,Unf,Feb,WD,Abnorml,140000
14260,3,4,3,8,5,2000,2000,350.0,4,3,4,3,2,6,655,1,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,2000.0,3,836,3,3,2,192,84,0,0,0,0,0,2008,SC60,RL,Pave,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,Dec,WD,Normal,250000
14115,3,4,3,5,5,1993,1995,0.0,3,3,4,3,0,6,732,1,0,64,796,5,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,1993.0,2,480,3,3,2,40,30,0,320,0,0,700,2009,SC50,RL,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Wood,GasA,Y,SBrkr,Attchd,Unf,Oct,WD,Normal,143000
10084,4,4,3,8,5,2004,2005,186.0,4,3,5,3,2,6,1369,1,0,317,1686,5,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,2004.0,2,636,3,3,2,255,57,0,0,0,0,0,2007,SC20,RL,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,RFn,Aug,WD,Normal,307000
10382,3,4,3,7,6,1973,1973,240.0,3,3,4,3,1,5,859,4,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,1973.0,2,484,3,3,2,235,204,228,0,0,0,350,2009,SC60,RL,Pave,Lvl,Corner,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,SBrkr,Attchd,RFn,Nov,WD,Normal,200000
6120,4,4,3,7,5,1931,1950,0.0,3,3,3,3,0,1,0,1,0,952,952,4,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,1931.0,2,468,2,3,2,90,0,205,0,0,0,0,2008,SC50,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,None,BrkTil,GasA,Y,FuseF,Detchd,Unf,Apr,WD,Abnorml,129900
7420,4,4,3,5,6,1939,1950,0.0,3,3,3,3,0,6,851,1,0,140,991,5,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,1939.0,1,205,4,3,2,0,4,0,0,0,0,0,2008,SC190,RL,Pave,Lvl,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Attchd,RFn,Jan,WD,Normal,118000
